BsmtFinSF1,YearBuilt,BsmtUnfSF,GarageArea,GrLivArea,BsmtExposure,LotFrontage,MasVnrArea,OpenPorchSF,KitchenQual,OverallQual,OverallCond,GarageYrBlt,BedroomAbvGr,1stFlrSF,2ndFlrSF
477,1950,725,576,2158,Av,84.0,0.0,29,Gd,6,7,1950.0,4.0,2158,0.0
20,2005,1594,865,1614,Av,86.0,240.0,59,Gd,7,5,2005.0,3.0,1614,0.0
156,1925,516,400,1482,No,70.24318658280923,0.0,0,Fa,6,8,1934.0,2.873045078196872,810,672.0
492,1968,402,450,894,No,109.0,0.0,0,TA,5,5,1968.0,3.0,894,0.0
0,1970,864,280,864,No,71.0,0.0,0,TA,4,5,1972.0,3.0,864,0.0
765,2008,252,812,2007,Av,85.0,160.0,52,Ex,10,5,2008.0,3.0,1026,981.0
1005,1988,387,576,1412,Mn,130.0,0.0,0,Gd,6,5,1988.0,3.0,1412,0.0
0,2004,970,380,1709,No,24.0,50.0,40,Gd,7,5,2004.0,2.873045078196872,970,739.0
0,1962,894,308,894,No,60.0,0.0,0,TA,5,5,1962.0,2.0,894,0.0
600,1962,312,440,1734,No,77.0,0.0,0,Gd,6,7,1962.0,3.0,1085,649.0
16,2005,1330,437,1504,No,43.0,14.0,20,Gd,7,5,2005.0,2.0,1504,0.0
0,1936,896,240,1344,No,70.24318658280923,0.0,114,TA,5,4,1936.0,3.0,896,448.0
456,1920,216,468,1344,No,59.0,0.0,128,TA,5,7,1964.0,3.0,672,672.0
0,1955,1005,672,1005,No,60.0,0.0,0,Fa,4,5,1977.0,2.0,1005,0.0
80,2006,1652,712,1776,Gd,93.0,100.0,0,Gd,8,5,2006.0,3.0,1776,0.0
513,1993,227,425,1775,No,75.0,137.0,72,Gd,7,5,1993.0,3.0,1006,769.0
936,1980,0,672,936,Gd,60.0,180.0,0,TA,5,5,1980.0,2.0,936,0.0
512,1966,148,453,1348,No,69.0,266.0,108,TA,6,5,1966.0,3.0,660,688.0
0,1920,530,288,1111,No,60.0,0.0,0,Fa,5,7,1935.0,3.0,581,530.0
0,1957,0,252,1340,Non,60.0,98.0,0,TA,5,6,1957.0,3.0,1340,0.0
862,1996,255,455,2013,Av,92.0,0.0,130,TA,7,5,1997.0,3.0,1127,886.0
533,2000,281,663,1674,No,70.24318658280923,0.0,96,Gd,7,5,2000.0,3.0,814,860.0
896,1977,434,619,2872,No,70.24318658280923,424.0,282,TA,6,7,1977.0,4.0,1542,1330.0
292,1949,476,281,1716,No,60.0,0.0,0,TA,5,4,1949.0,3.0,1148,568.0
152,1925,628,539,1208,No,52.0,0.0,23,TA,4,5,1962.0,2.0,848,0.0
439,1969,115,440,1026,No,61.0,0.0,48,Gd,6,8,1969.0,3.0,1026,345.57741347905284
0,1950,0,400,1040,Non,60.0,0.0,0,TA,3,4,1987.0,2.0,1040,0.0
150,1972,0,0,630,Av,21.0,0.0,24,TA,4,6,1979.0,1.0,630,0.0
0,1960,0,336,1771,Non,100.0,75.0,0,TA,5,4,1960.0,3.0,1771,0.0
0,1875,780,0,1020,No,54.0,0.0,0,TA,5,8,1979.0,2.0,780,240.0
120,1976,958,440,958,No,70.24318658280923,0.0,205,TA,6,5,1977.0,2.0,958,345.57741347905284
0,1992,384,392,1482,No,70.24318658280923,170.0,25,Gd,7,5,1992.0,3.0,812,670.0
0,1921,576,480,1710,No,50.0,0.0,11,TA,7,6,1990.0,3.0,902,808.0
0,1988,1907,766,1959,No,82.0,70.0,0,TA,7,5,1989.0,5.0,1959,0.0
0,1960,978,286,1422,No,70.24318658280923,0.0,0,TA,5,5,1960.0,3.0,1422,0.0
580,1945,333,288,1558,No,60.0,0.0,0,TA,5,6,1962.0,3.0,1048,345.57741347905284
468,1925,396,0,864,No,67.0,0.0,0,TA,5,6,1979.0,2.0,864,0.0
0,2009,1226,740,1226,No,94.0,0.0,36,Gd,7,5,2009.0,2.873045078196872,1226,0.0
0,1956,672,288,960,No,70.24318658280923,0.0,0,TA,4,3,1956.0,3.0,960,0.0
1280,2007,402,846,2332,Av,96.0,272.0,134,Ex,10,5,2008.0,3.0,1742,590.0
0,2008,1417,554,1428,No,91.0,256.0,60,Ex,7,5,2008.0,3.0,1428,0.0
0,1986,1074,461,1088,No,70.24318658280923,0.0,74,Gd,8,5,1987.0,2.0,1088,0.0
300,1993,899,530,1199,No,55.0,0.0,63,Gd,6,5,1993.0,2.0,1199,0.0
0,1976,1090,479,1370,No,80.0,189.0,0,TA,7,5,1976.0,3.0,1370,0.0
0,1940,778,240,1489,No,60.0,0.0,0,TA,6,7,1940.0,3.0,944,545.0
737,1962,175,352,912,No,70.24318658280923,0.0,0,TA,5,6,1962.0,2.0,912,0.0
0,1955,0,392,827,Non,60.0,0.0,0,TA,5,7,1967.0,2.0,827,0.0
490,1935,30,0,754,Av,60.0,0.0,0,TA,6,8,1979.0,2.0,520,0.0
789,1992,119,506,1915,Mn,80.0,0.0,150,Gd,8,5,1992.0,3.0,927,988.0
821,1997,107,470,1764,No,65.0,0.0,99,Gd,6,5,1997.0,3.0,928,836.0
454,1965,314,486,1986,No,85.0,176.0,42,TA,7,6,1965.0,3.0,1186,800.0
428,1953,0,270,1319,No,79.0,0.0,0,TA,5,6,1953.0,3.0,1319,0.0
356,1973,316,264,1218,No,21.0,285.0,28,TA,6,5,1973.0,3.0,672,546.0
493,1969,0,462,1620,No,80.0,263.0,0,TA,5,5,1969.0,4.0,780,840.0
860,1957,132,756,1306,Mn,64.0,0.0,0,TA,5,7,1968.0,2.0,1306,0.0
0,2005,756,615,1553,No,65.0,0.0,45,Gd,7,5,2005.0,3.0,756,797.0
0,1908,504,576,1252,No,92.0,0.0,0,TA,5,8,1986.0,3.0,936,316.0
0,2005,1030,878,2098,Mn,80.0,178.0,52,Ex,8,5,2005.0,2.873045078196872,1038,1060.0
735,2000,257,839,1865,No,70.24318658280923,0.0,184,Gd,7,5,2000.0,3.0,992,873.0
381,1976,399,484,1868,No,70.24318658280923,44.0,96,Gd,5,7,1976.0,4.0,1088,780.0
120,1950,736,271,1668,No,80.0,0.0,0,TA,6,8,1950.0,3.0,1112,345.57741347905284
922,1957,392,294,1314,No,70.0,0.0,0,TA,5,6,1957.0,3.0,1314,0.0
1082,1986,371,445,1453,Gd,70.24318658280923,0.0,80,Gd,7,5,1986.0,2.873045078196872,1453,0.0
187,1965,111,596,2380,No,70.24318658280923,113.0,265,TA,6,5,1965.0,3.0,1465,915.0
0,2000,936,451,1792,No,93.0,318.0,0,TA,6,5,2000.0,3.0,962,830.0
443,1960,662,480,2274,No,80.0,361.0,0,TA,5,5,1960.0,5.0,1105,1169.0
0,1906,756,216,1469,No,60.0,0.0,0,TA,6,7,1906.0,3.0,756,713.0
560,1977,420,484,980,No,71.0,153.0,0,TA,5,6,1986.0,3.0,980,0.0
1277,1957,207,319,1600,Gd,47.0,0.0,258,TA,5,6,1957.0,2.0,1600,0.0
625,1980,0,612,1686,No,79.0,157.0,131,TA,6,6,1980.0,3.0,1686,0.0
0,2004,847,434,1948,No,41.0,0.0,48,Gd,7,5,2004.0,2.873045078196872,847,1101.0
661,1965,203,884,1200,Mn,71.0,166.0,64,Gd,5,8,1977.0,1.0,1200,0.0
0,1966,697,432,2201,Av,70.24318658280923,0.0,236,Gd,6,7,1966.0,4.0,1575,626.0
371,1962,728,296,1431,Gd,101.0,305.0,110,TA,6,5,1962.0,3.0,1431,0.0
1440,1977,0,0,1440,Gd,42.0,0.0,0,TA,4,3,1979.0,4.0,1440,0.0
348,1920,180,0,605,Mn,58.0,0.0,0,TA,4,7,1979.0,2.0,605,0.0
348,1941,324,280,924,No,60.0,0.0,0,Fa,4,4,1941.0,2.0,672,252.0
812,1954,124,286,1128,No,75.0,0.0,0,TA,5,5,1954.0,2.0,1128,0.0
572,1961,572,456,1144,No,75.0,136.0,0,TA,5,6,1961.0,3.0,1144,0.0
0,1926,600,528,747,Mn,52.0,108.0,0,TA,4,5,1953.0,1.0,747,0.0
892,1965,244,384,1136,No,80.0,0.0,0,TA,6,6,1965.0,3.0,1136,0.0
493,1920,1017,520,2792,No,60.0,0.0,547,TA,6,7,1920.0,2.873045078196872,1584,1208.0
193,2005,545,540,1476,No,64.0,0.0,35,Gd,6,5,2005.0,3.0,738,345.57741347905284
604,1999,92,484,1416,No,24.0,0.0,44,Gd,7,5,1999.0,3.0,696,720.0
188,1968,204,270,1060,Mn,70.24318658280923,0.0,90,Gd,5,8,1968.0,3.0,1060,0.0
0,1939,780,280,1412,No,50.0,0.0,0,TA,6,6,1939.0,4.0,825,587.0
216,1882,700,424,1742,No,121.0,0.0,169,Gd,8,9,1925.0,4.0,916,826.0
500,1969,748,968,2634,No,91.0,368.0,0,TA,5,5,1969.0,6.0,1338,1296.0
1218,2002,350,857,1689,No,70.24318658280923,148.0,59,Gd,8,5,2002.0,3.0,1689,0.0
697,2004,151,420,848,Gd,70.24318658280923,147.0,0,Gd,6,5,2004.0,1.0,848,0.0
769,1967,95,288,900,Av,68.0,0.0,144,TA,5,5,1967.0,3.0,900,0.0
116,1930,556,0,840,No,55.0,0.0,0,TA,5,7,1979.0,3.0,840,0.0
0,2004,970,380,1709,No,24.0,50.0,40,Gd,7,5,2004.0,3.0,970,739.0
1460,2005,408,880,2028,Gd,88.0,208.0,66,Gd,8,5,2005.0,2.0,2028,0.0
0,1999,1393,779,2599,No,108.0,165.0,30,Gd,9,5,1999.0,4.0,1422,1177.0
1361,1994,88,711,2448,No,52.0,528.0,76,Gd,8,7,1994.0,4.0,1686,762.0
578,2009,892,484,1478,Av,70.24318658280923,432.0,144,Gd,7,5,2009.0,2.0,1478,0.0
836,1965,237,515,1073,No,79.0,168.0,0,TA,5,7,1965.0,3.0,1073,0.0
0,2006,1249,840,2596,Av,111.0,370.0,154,Gd,9,5,2006.0,4.0,1249,1347.0
0,1924,768,240,792,No,52.0,0.0,0,Gd,5,8,1924.0,2.0,792,0.0
0,1929,792,400,1517,No,70.24318658280923,0.0,0,Gd,8,7,1931.0,3.0,792,725.0
351,1970,1043,621,2217,Gd,95.0,0.0,207,Gd,8,6,1970.0,4.0,2217,0.0
686,2003,162,420,848,Av,37.0,170.0,0,Gd,6,5,2003.0,1.0,848,0.0
0,1980,650,476,1564,No,70.0,130.0,50,TA,6,6,1980.0,3.0,888,676.0
0,1915,840,308,1680,No,63.0,0.0,0,TA,6,7,1960.0,2.873045078196872,840,840.0
733,1993,604,462,1337,No,41.0,0.0,0,Gd,8,5,1993.0,2.0,1337,0.0
1455,1994,989,832,4316,Gd,104.0,1170.0,50,Ex,10,6,1994.0,4.0,2444,1872.0
1200,1977,410,480,1610,Mn,70.24318658280923,28.0,68,Gd,6,7,1977.0,3.0,1610,0.0
619,1968,435,619,2654,Mn,70.24318658280923,220.0,65,Gd,6,7,1968.0,4.0,1512,1142.0
0,1900,0,0,1294,Non,60.0,0.0,114,TA,4,7,1979.0,3.0,694,600.0
403,1940,212,924,778,No,71.0,0.0,25,TA,5,6,1966.0,2.0,778,0.0
1002,1988,0,786,2183,No,70.24318658280923,178.0,0,Gd,7,5,1988.0,4.0,1377,806.0
678,1981,762,467,1440,No,70.24318658280923,310.0,0,Gd,6,7,1981.0,3.0,1440,0.0
1153,2005,408,556,1561,No,60.0,246.0,47,Ex,9,5,2005.0,2.0,1561,0.0
585,1958,630,297,1215,No,66.0,176.0,0,TA,6,7,1958.0,3.0,1215,0.0
1441,1983,55,612,2132,Gd,79.0,0.0,40,Gd,8,8,1983.0,1.0,1496,636.0
1470,1990,203,594,3222,Mn,90.0,0.0,0,Gd,7,5,1990.0,5.0,1699,1523.0
0,2006,625,528,1250,No,35.0,0.0,54,Gd,7,5,2006.0,2.0,625,625.0
0,1954,941,548,1470,No,60.0,0.0,0,TA,4,6,1958.0,4.0,997,345.57741347905284
956,1974,384,624,2614,No,90.0,0.0,243,TA,6,7,1974.0,4.0,1548,1066.0
338,1948,1221,812,1559,No,90.0,0.0,116,TA,5,6,1948.0,2.873045078196872,1559,0.0
936,1976,396,574,1728,Gd,55.0,0.0,0,TA,6,5,1976.0,4.0,1728,0.0
988,1956,200,576,1437,No,70.24318658280923,0.0,0,TA,5,6,1999.0,3.0,1437,0.0
0,1968,1489,462,1489,No,70.24318658280923,0.0,0,Gd,6,7,1968.0,3.0,1489,0.0
554,2006,100,426,1496,Av,58.0,0.0,24,Gd,7,5,2006.0,3.0,664,345.57741347905284
919,1996,801,527,1720,No,59.0,338.0,56,Gd,7,5,1996.0,3.0,1720,345.57741347905284
0,1994,702,343,1481,No,65.0,0.0,36,TA,6,5,1994.0,3.0,702,779.0
748,1959,102,796,1144,Av,70.0,128.0,0,TA,5,6,1959.0,3.0,1144,0.0
1056,1966,0,384,1056,No,70.24318658280923,0.0,42,TA,4,4,1966.0,2.873045078196872,1056,0.0
0,1992,808,389,1593,No,70.24318658280923,0.0,40,TA,6,5,1993.0,3.0,808,785.0
0,1928,861,216,1477,No,52.0,0.0,50,TA,7,7,1928.0,3.0,877,600.0
0,2008,1498,592,1506,No,75.0,284.0,174,Ex,9,5,2008.0,2.0,1506,0.0
0,1952,540,504,1044,Av,66.0,0.0,0,Fa,5,5,1952.0,2.0,1044,0.0
1236,1965,80,513,2036,Gd,150.0,0.0,0,TA,7,5,1965.0,3.0,2036,0.0
309,1973,174,264,987,No,21.0,408.0,0,TA,6,5,1973.0,2.0,483,504.0
894,1972,0,552,894,No,70.0,0.0,0,TA,5,7,1975.0,3.0,894,0.0
0,1954,1050,352,1795,No,81.0,335.0,0,TA,5,5,1954.0,4.0,1050,745.0
374,1960,363,308,1269,No,70.0,0.0,0,TA,5,6,1964.0,3.0,1269,0.0
423,1925,758,576,1694,No,60.0,0.0,0,TA,6,5,1925.0,4.0,1390,304.0
772,1999,220,390,2060,No,70.24318658280923,298.0,0,Gd,7,5,1999.0,3.0,1022,1038.0
0,1910,728,532,2019,No,60.0,0.0,135,Gd,7,8,1997.0,3.0,1136,883.0
697,1958,747,389,2144,Gd,70.24318658280923,472.0,98,Gd,6,7,1958.0,4.0,1444,700.0
386,1942,342,312,1644,No,79.0,224.0,0,Gd,5,7,1942.0,3.0,888,345.57741347905284
0,1920,736,0,1452,No,33.0,0.0,0,TA,4,5,1979.0,2.0,736,716.0
1606,1976,122,560,1728,No,63.0,0.0,0,TA,5,5,1976.0,4.0,1728,0.0
482,1990,971,750,2810,No,70.24318658280923,336.0,0,Gd,8,5,1990.0,4.0,1453,1357.0
0,1910,622,528,1363,No,60.0,0.0,0,TA,4,7,1966.0,3.0,741,622.0
0,2009,1502,644,1502,No,79.0,268.0,114,Gd,7,5,2009.0,3.0,1502,0.0
297,1968,1203,508,2156,No,70.24318658280923,0.0,80,TA,7,7,1968.0,3.0,2156,0.0
812,2006,280,438,1550,No,65.0,100.0,168,Gd,7,5,2007.0,2.0,1112,438.0
1369,2004,317,636,1694,Av,75.0,186.0,57,Gd,8,5,2004.0,3.0,1694,0.0
700,1992,983,541,2872,No,85.0,337.0,33,Gd,8,5,1992.0,4.0,2129,743.0
0,1955,816,300,1393,No,59.0,0.0,0,TA,5,7,1955.0,3.0,872,521.0
378,1939,342,240,2192,No,60.0,0.0,24,Gd,5,8,1939.0,4.0,1052,720.0
498,1960,460,301,958,Mn,70.24318658280923,0.0,0,TA,6,8,1960.0,2.0,958,0.0
0,2002,1459,527,1459,No,70.0,100.0,39,Gd,7,5,2002.0,3.0,1459,0.0
672,1936,0,240,1324,No,50.0,0.0,0,TA,4,6,1936.0,3.0,757,567.0
946,2004,490,484,1436,Mn,65.0,266.0,98,Gd,7,5,2004.0,3.0,1436,0.0
371,1969,292,299,1352,No,80.0,143.0,36,TA,6,7,1969.0,4.0,663,689.0
334,1973,212,286,1092,No,70.24318658280923,0.0,96,TA,4,5,1973.0,3.0,546,546.0
400,2005,466,603,1768,No,75.0,0.0,108,Gd,7,5,2005.0,3.0,866,902.0
247,1966,557,578,1888,No,137.0,0.0,0,Gd,6,6,1966.0,2.0,1888,0.0
841,1953,324,375,1336,Mn,90.0,56.0,0,TA,5,5,1953.0,2.0,1336,0.0
0,1970,630,440,1302,No,24.0,304.0,0,TA,5,5,1970.0,3.0,630,672.0
1128,1918,242,864,2624,No,86.0,0.0,0,TA,6,6,1918.0,4.0,1370,1254.0
1116,1976,165,490,1620,No,70.24318658280923,0.0,78,TA,4,4,1993.0,3.0,1620,0.0
168,1916,0,216,2526,No,60.0,0.0,15,Gd,6,7,1916.0,5.0,1664,862.0
0,2007,1580,830,1580,No,92.0,186.0,24,Gd,8,5,2008.0,3.0,1580,0.0
685,2003,163,420,848,Av,70.24318658280923,170.0,0,Gd,6,5,2003.0,1.0,848,0.0
0,1949,0,287,720,Non,70.24318658280923,0.0,0,TA,3,6,1955.0,2.0,720,345.57741347905284
0,1920,691,216,691,No,60.0,0.0,20,Ex,5,6,1920.0,2.0,691,0.0
648,2005,80,410,1456,Av,63.0,0.0,18,Gd,7,5,2005.0,3.0,728,728.0
241,1900,229,384,1367,No,50.0,0.0,130,TA,5,8,1978.0,4.0,961,406.0
0,2006,1588,825,1588,Av,85.0,410.0,45,Gd,8,5,2006.0,3.0,1588,0.0
197,1916,999,440,1196,No,40.0,0.0,0,TA,4,7,1957.0,2.0,1196,0.0
734,1971,344,500,1078,No,70.24318658280923,0.0,0,TA,5,6,1971.0,3.0,1078,0.0
1246,1977,356,529,1602,No,70.24318658280923,126.0,0,Gd,6,7,1977.0,3.0,1602,0.0
400,1966,336,484,1632,No,70.24318658280923,252.0,40,Gd,6,8,1966.0,4.0,800,832.0
936,2009,364,552,1314,Mn,72.0,72.0,112,Gd,8,5,2009.0,3.0,1314,0.0
622,1928,500,576,1981,No,65.0,0.0,44,Gd,4,3,1981.0,4.0,1328,653.0
510,1968,354,288,874,No,62.0,0.0,0,TA,5,6,1968.0,3.0,874,0.0
523,1920,301,672,3082,No,102.0,0.0,63,TA,7,3,1970.0,5.0,1687,998.0
1238,1999,460,506,1709,Av,50.0,60.0,65,Gd,9,5,1999.0,2.0,1709,0.0
662,2004,186,420,848,Av,70.24318658280923,169.0,0,Gd,6,5,2004.0,1.0,848,0.0
0,1991,1288,462,2417,No,121.0,284.0,82,Gd,8,5,1991.0,4.0,1301,1116.0
649,1999,321,480,1739,No,24.0,456.0,0,Gd,8,5,1999.0,3.0,983,756.0
751,1976,392,504,1113,No,70.24318658280923,174.0,30,TA,6,7,1987.0,3.0,1113,0.0
0,1961,1800,0,1800,No,80.0,0.0,0,TA,5,4,1979.0,6.0,1800,0.0
991,1959,50,270,1041,No,80.0,132.0,88,TA,5,6,1959.0,3.0,1041,0.0
739,1956,405,596,1144,Av,68.0,0.0,0,TA,5,6,1956.0,2.873045078196872,1144,345.57741347905284
648,1965,0,364,960,Av,70.24318658280923,0.0,0,TA,4,9,1965.0,0.0,960,0.0
990,2001,309,531,1872,Av,70.24318658280923,108.0,122,Ex,8,5,2001.0,3.0,1299,573.0
0,2000,1406,504,1936,No,106.0,40.0,124,Gd,8,5,2000.0,3.0,1454,482.0
1213,1954,84,498,1297,No,74.0,650.0,0,TA,5,6,1954.0,2.873045078196872,1297,0.0
672,1962,0,884,1382,Gd,120.0,399.0,0,TA,6,5,1991.0,3.0,1382,0.0
0,2006,1079,685,1919,Av,120.0,0.0,51,Gd,8,5,2006.0,3.0,1079,840.0
1456,1994,168,757,1624,No,89.0,0.0,114,Gd,8,5,1994.0,2.0,1624,0.0
1064,1954,319,354,1383,Mn,70.24318658280923,0.0,116,TA,5,5,1954.0,3.0,1383,0.0
0,1939,732,264,1123,No,50.0,0.0,0,TA,4,5,1979.0,3.0,772,351.0
72,1959,733,576,1287,No,70.24318658280923,0.0,17,Gd,5,7,1997.0,3.0,1287,0.0
720,2004,638,484,1358,Av,59.0,146.0,30,Gd,7,5,2004.0,2.0,1358,0.0
0,2000,384,400,1430,No,76.0,0.0,0,TA,7,5,2000.0,3.0,774,656.0
575,1976,487,831,2715,No,70.24318658280923,289.0,204,Gd,8,9,1994.0,4.0,1175,1540.0
666,2001,278,622,1840,No,79.0,0.0,45,Gd,7,5,2001.0,3.0,944,896.0
859,1973,216,484,2090,Mn,70.24318658280923,240.0,204,TA,7,6,1973.0,3.0,1107,983.0
690,1996,814,478,1504,Gd,73.0,196.0,66,Gd,7,5,1996.0,3.0,1504,0.0
462,1997,154,603,1688,Gd,79.0,0.0,114,Gd,6,5,1997.0,4.0,616,1072.0
336,1948,295,240,1285,No,50.0,0.0,0,TA,5,5,1948.0,2.0,1072,213.0
410,2004,811,400,1221,No,62.0,0.0,113,Gd,7,5,2004.0,2.0,1221,0.0
897,1998,319,402,1216,No,32.0,116.0,125,TA,6,5,1998.0,2.0,1216,345.57741347905284
182,1997,612,388,1470,Av,70.24318658280923,0.0,75,TA,6,6,1997.0,2.873045078196872,794,676.0
570,1958,510,288,1080,No,75.0,135.0,0,TA,6,7,1958.0,3.0,1080,0.0
943,1979,0,600,943,Gd,70.24318658280923,0.0,0,TA,5,5,1979.0,2.0,943,0.0
368,1985,0,528,1502,Av,70.24318658280923,0.0,54,Gd,8,5,1985.0,1.0,1502,0.0
432,1971,432,0,864,No,70.0,0.0,0,TA,4,5,1979.0,3.0,864,0.0
0,1915,840,379,1605,No,60.0,0.0,0,TA,3,6,1915.0,3.0,840,765.0
614,1971,244,0,858,No,70.24318658280923,0.0,0,TA,4,4,1979.0,3.0,858,345.57741347905284
402,1993,594,457,1744,No,70.24318658280923,0.0,70,Gd,7,7,1993.0,3.0,1014,730.0
438,1978,234,440,1386,Mn,70.24318658280923,328.0,0,TA,6,5,1978.0,3.0,672,714.0
0,1949,720,0,1192,No,60.0,0.0,0,TA,4,4,1979.0,4.0,720,472.0
1767,2008,788,672,2402,Gd,105.0,200.0,72,Ex,10,5,2008.0,2.0,2402,0.0
0,1971,672,0,1218,No,21.0,236.0,0,TA,6,5,1979.0,3.0,672,546.0
505,1978,0,576,1026,Gd,70.24318658280923,0.0,0,TA,6,6,1981.0,3.0,1026,0.0
1157,1976,280,528,1437,Gd,90.0,0.0,21,Gd,5,8,1976.0,3.0,1437,0.0
322,1971,536,684,858,No,70.24318658280923,0.0,0,TA,4,6,1979.0,2.0,858,0.0
767,1977,266,540,1126,Av,70.24318658280923,0.0,0,Ex,5,6,1977.0,3.0,1126,0.0
510,1999,90,462,1252,No,24.0,212.0,48,Gd,7,5,1999.0,2.0,624,628.0
